¹ö½º³ë¼±	Ãâ±Ù½Ã°£ ÃÑ½Â°´ÀÎ¿ø	Åð±Ù½Ã°£ ÃÑ½Â°´ÀÎ¿ø	½Â°´ÀÌ¿ë °¡ÁßÄ¡	½Â°´ÀÌ¿ë °¡ÁßÄ¡_scaled	¹èÂ÷°£°Ý
73	2985	2141	5126	51	
27	2114	1590	3704	37	8
6003	1955	1363	3318	33	
708	2083	1234	3317	33	
720-3	1829	1263	3092	30	
M4403	1636	1131	2767	27	
19	1684	875	2559	25	21
17	1241	925	2166	21	15
M4108	1233	765	1998	19	
H2	1024	877	1901	19	20
6001	973	873	1846	18	
6008	838	618	1456	14	
H1	847	572	1419	14	25
712	872	474	1346	13	
H20	888	405	1293	12	25
116-5	720	525	1245	12	
4403	755	468	1223	12	
116-2	757	461	1218	12	
6004	713	443	1156	11	
701A	672	480	1152	11	
4108	688	381	1069	10	
709	574	444	1018	10	10
709-1	560	419	979	9	20
8501	591	381	972	9	
203	445	501	946	9	
9	632	237	869	8	15
7200	555	301	856	8	
H65	417	427	844	8	
H67	302	484	786	7	
H12	493	277	770	7	20
12	482	280	762	7	26
1551B	472	237	709	7	
1551	460	230	690	6	
81	430	208	638	6	40
200	347	205	552	5	
8502	319	226	545	5	
19-5(B)	391	145	536	5	65
H25	342	116	458	4	38
H100	227	228	455	4	60~360
205	275	180	455	4	60~80
721	236	204	440	4	100~120
H102	278	106	384	3	50~100
1000	220	149	369	3	60~90
H24	203	64	267	2	40~150
100	179	53	232	2	25
H101	144	71	215	2	80~130
710	107	76	183	1	65~75
6	105	47	152	1	70
P9301(Ãâ±Ù)	120	0	120	1	20
P9301(Åð±Ù)	0	84	84	1	20
