정류장ID,정류장,가중치,위도,경도
233000070,솔빛동탄경남아너스빌,4,37.1991167,127.07425
233001218,메타폴리스(중),179,37.2042667,127.0674833
233001219,메타폴리스(중),179,37.2037333,127.0675167
233001224,다은마을(중),162,37.1999833,127.0675833
233001281,예당마을.롯데캐슬(중),180,37.21095,127.0720667
233001283,센트럴파크뷰아파트(중),162,37.1994333,127.06415
233001437,개나리공원,20,37.21135,127.0677167
233001450,솔빛마을.서해.쌍용아파트,118,37.1958167,127.0696333
233001486,노작마을.한화우림,6,37.1961833,127.0773333
233001640,동탄2동행정복지센터,44,37.19715,127.0726
233001650,동탄1동행정복지센터.헌혈의집,144,37.20685,127.07235
233001651,현대아이파크,130,37.2057333,127.0706167
233001652,예당예원초,131,37.2107,127.0775833
233001653,롯데케슬정문,122,37.2092667,127.0749167
233001673,미즈파크병원,34,37.2096333,127.0604667
233001675,센트럴파크,196,37.2080667,127.0639333
233001677,한화꿈에그린아파트,196,37.2068167,127.06655
233001678,메타폴리스,130,37.2053667,127.0707333
233001679,동탄1동행정복지센터.헌혈의집,144,37.20665,127.0725667
233001680,예당마을,8,37.20755,127.0746167
233001681,신일유토빌정문,131,37.20915,127.07505
233001682,예당예원초,131,37.2105667,127.0776667
233001683,전하리교회.우미제일,241,37.21315,127.0792833
233001697,센트럴포레스트정문,37,37.1971167,127.06575
233001715,능동주공단지,22,37.2135,127.06245
233001720,동탄보건지소.우체국,16,37.2071,127.07605
233001721,우림필유,20,37.2008333,127.0595833
233001722,동탄고.동탄청소년문화의집,78,37.2038,127.0594667
233001733,서해그랑블아파트,13,37.1988,127.0702667
233001735,동탄보건지소.우체국,26,37.2071,127.0765667
233001736,대우푸르지오.예당고등학교,26,37.2085,127.07895
233001963,반월e편한세상,14,37.2259833,127.0596667
233001972,잎새지하차도,21,37.2094333,127.0716
233001973,잎새지하차도,21,37.2090667,127.0713
233001978,IT단지(중),85,37.2247167,127.0741333
233002092,동양파라곤,36,37.2040333,127.0709833
233002093,동양파라곤,36,37.2040333,127.07135
233002376,동탄홈플러스,45,37.2020167,127.0693167
233002674,화성미디어센터,20,37.20275,127.0739333
233002681,신일유토빌정문,0,37.20915,127.07505
233002954,동탄119안전센터,2,37.205,127.0727833
233003186,우미제일.전하리교회,241,37.2121333,127.0793833
