구분1,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
1주간대중교통이용횟수(회),9.97,9.83,10.14,9.75,9.7,9.59,9.56,9.51,9.75,9.48,9.6,9.55,9.53,9.45,9.5,9.56,9.4
한달평균대중교통비용(원),"49,822","49,295","49,474","49,843","50,019","50,949","50,316","50,858","50,562","50,525","49,434","50,310","50,038","50,377","50,633","50,326","50,288"
주이용교통수단_버스(%),33.9,57.2,58.2,52.5,84,78.2,100,100,63.7,98.3,100,94.2,100,100,97.6,94.5,100
주이용교통수단_도시철도(%),66.1,42.8,41.8,47.5,16,21.8,0,0,36.3,1.7,0,5.8,0,0,2.4,5.5,0
교통카드이용률(%),100,99.6,99.6,99.7,99.1,99.6,99.7,99.7,99.3,93.1,94.8,94.8,96,90.4,92.5,95,99.1
정보제공서비스이용률(%),95.9,95,95.9,95.1,95.1,95.8,95.8,95.5,95.6,95.6,95.7,95.9,95.6,95.1,95.4,95.1,95.9
접근소요시간(분),8.31,7.98,8.01,8.03,7.89,7.9,7.81,7.64,8.29,8.19,8.37,8.28,8.22,8.5,8.28,8.28,8.24
환승서비스이용률(%),100,100,100,100,99.9,100,100,5.9,90.7,13.6,17.7,17.5,10.7,20.5,15.8,15.4,8.5
환승횟수(회),1.5,1.51,1.5,1.5,1.47,1.49,1.53,1.64,1.5,1.49,1.44,1.46,1.48,1.44,1.47,1.52,1.45
환승이동시간(분),6.04,6.17,6.23,6.18,6.19,6.15,6.2,6.36,6.62,7.83,7.45,7.1,7.74,8.02,7.62,7.58,6.73
환승대기시간(분),7.21,6.78,6.5,6.8,6.34,6.31,6.25,8.24,8.38,9.21,9.08,9.11,8.81,9.32,9.02,8.28,8.95
